Block Type;96well;;;
Chemistry;SYBR_GREEN;;;
Experiment File Name;D:\Documents and Settings\INSTR-ADMIN\My Documents\LukaszL_qPCR\miRNA_2-1.eds;;;
Experiment Run End Time;2017-06-16 11:25:46 AM CEST;;;
Instrument Type;steponeplus;;;
Passive Reference;;;;
;;;;
Well;Cycle;Target Name;Rn;?Rn
B3;21;Target 1;36104,83594;39,41138458
B3;22;Target 1;36178,78516;53,53016281
B3;23;Target 1;36233,46875;48,38331223
B3;24;Target 1;36308;63,0841217
B3;25;Target 1;36257,25781;-47,48851013
B3;26;Target 1;36455,17969;90,60292816
B3;27;Target 1;36502,15234;77,74514008
B3;28;Target 1;36524,70313;40,46547699
B3;29;Target 1;36493,01953;-51,04855728
B3;30;Target 1;36615,73828;11,83975029
B3;31;Target 1;36763,0625;99,33352661
B3;32;Target 1;36950,54688;226,9874573
B3;33;Target 1;36995,375;211,9851379
B3;34;Target 1;37236,03906;392,8187561
B3;35;Target 1;38052,46484;1149,414063
B3;36;Target 1;39274,33594;2311,454834
B3;37;Target 1;41611,05469;4588,343262
B3;38;Target 1;46030,24609;8947,704102
B3;39;Target 1;54305,45313;17163,08008
B3;40;Target 1;69257,92188;32055,71875
B4;1;Target 1;31626,92969;968,1418457
B4;2;Target 1;31438,81641;719,5296021
B4;3;Target 1;31291,10938;511,3236694
B4;4;Target 1;30858,46094;18,17629814
B4;5;Target 1;31122,84766;222,0640869
B4;6;Target 1;30844,45117;-116,8313293
B4;7;Target 1;30872,19531;-149,5861206
B4;8;Target 1;30918,82031;-163,4600525
B4;9;Target 1;30916,17578;-226,6035156
B4;10;Target 1;31026,89648;-176,3817444
B4;11;Target 1;31228,88281;-34,89434052
B4;12;Target 1;31467,55078;143,2746887
B4;13;Target 1;31044,39648;-340,37854
B4;14;Target 1;31510,20703;64,93308258
B4;15;Target 1;31462,87305;-42,89982986
B4;16;Target 1;31677,05859;110,7867889
B4;17;Target 1;31671,03711;44,26636887
B4;18;Target 1;31707,14063;19,87095451
B4;19;Target 1;31723,71484;-24,05375671
B4;20;Target 1;31796,92383;-11,34370327
B4;21;Target 1;31577,88477;-290,8816833
B4;22;Target 1;31804,08594;-125,1794586
B4;23;Target 1;32163,71875;173,954422
B4;24;Target 1;32267,82227;217,5590057
B4;25;Target 1;32287,04688;176,2846832
B4;26;Target 1;32149,33984;-21,92127228
B4;27;Target 1;32369,46094;137,7008972
B4;28;Target 1;32456,94922;164,6902466
B4;29;Target 1;32907,92578;555,1678467
B4;30;Target 1;33435,53906;1022,282227
B4;31;Target 1;34170,08594;1696,3302
B4;32;Target 1;35677,05469;3142,800049
B4;33;Target 1;38578,91406;5984,160645
B4;34;Target 1;44587,39063;11932,1377
B4;35;Target 1;55338,57031;22622,81836
B4;36;Target 1;74828,71875;42052,46875
B4;37;Target 1;109289,0234;76452,27344
B4;38;Target 1;156462,1719;123564,9219
B4;39;Target 1;204768,4063;171810,6563
B4;40;Target 1;245229,6875;212211,4375
B5;1;Target 1;29063,36719;91,78916931
B5;2;Target 1;29076,24414;53,97278595
B5;3;Target 1;29034,42773;-38,53695679
B5;4;Target 1;28855,87109;-267,7869263
B5;5;Target 1;29210,7168;36,36543655
B5;6;Target 1;29257,22656;32,18186569
B5;7;Target 1;29424,37109;148,6330566
B5;8;Target 1;29270,75195;-55,67941284
B5;9;Target 1;29685,40625;308,2815552
B5;10;Target 1;29575,8125;147,9944611
B5;11;Target 1;29450,50586;-28,00551414
B5;12;Target 1;29494,12109;-35,08361435
B5;13;Target 1;29629,95313;50,05508041
B5;14;Target 1;29453,80078;-176,7906036
B5;15;Target 1;29473,11328;-208,1714325
B5;16;Target 1;29685,99414;-45,98390961
B5;17;Target 1;29773,31641;-9,354980469
B5;18;Target 1;29995,99023;162,6255188
B5;19;Target 1;29863,31445;-20,74360466
B5;20;Target 1;29858,63867;-76,1127243
B5;21;Target 1;30001,74609;16,3013649
B5;22;Target 1;30067,75586;31,61779594
B5;23;Target 1;30120,58789;33,75649261
B5;24;Target 1;30289,10938;151,5846405
B5;25;Target 1;30295,68359;107,4655228
B5;26;Target 1;31087,38672;848,4753418
B5;27;Target 1;31564,00195;1274,397217
B5;28;Target 1;32435,15625;2094,858154
B5;29;Target 1;34800,74219;4409,750977
B5;30;Target 1;39668,14453;9226,459961
B5;31;Target 1;47677,89453;17185,51563
B5;32;Target 1;63439,60938;32896,53906
B5;33;Target 1;90281,35938;59687,59375
B5;34;Target 1;128262,4063;97617,94531
B5;35;Target 1;170669,5625;139974,4063
B5;36;Target 1;211342,4688;180596,625
B5;37;Target 1;247837,2813;217040,75
B5;38;Target 1;274970,3438;244123,1094
B5;39;Target 1;292054,3438;261156,4219
B5;40;Target 1;311613,0625;280664,4375
B6;1;Target 1;32536,85352;530,6936035
B6;2;Target 1;32380,71875;363,9057617
B6;3;Target 1;32318,85742;291,3913574
B6;4;Target 1;32100,875;62,75585175
B6;5;Target 1;32012,62891;-36,14332199
B6;6;Target 1;32013,17188;-46,25342941
B6;7;Target 1;32017,02539;-53,05299377
B6;8;Target 1;32005,12891;-75,60255432
B6;9;Target 1;32006,20898;-85,17555237
B6;10;Target 1;31996,29688;-105,7407379
B6;11;Target 1;31960,17578;-152,5149078
B6;12;Target 1;31947,63867;-175,7050934
B6;13;Target 1;32055,44922;-78,54763031
B6;14;Target 1;32228,34375;83,69382477
B6;15;Target 1;32320,87695;165,5739441
B6;16;Target 1;32371,27734;205,3212585
B6;17;Target 1;32365,1582;188,5490417
B6;18;Target 1;32400,03125;212,7690125
B6;19;Target 1;32561,6875;363,7721863
B6;20;Target 1;32700,93164;492,3632507
B6;21;Target 1;32816,94922;597,7277222
B6;22;Target 1;32963,45313;733,5785522
B6;23;Target 1;33094,34766;853,8200073
B6;24;Target 1;33430,42578;1179,245117
B6;25;Target 1;34038,42969;1776,595947
B6;26;Target 1;35028,44531;2755,958496
B6;27;Target 1;36880,66406;4597,523926
B6;28;Target 1;40356,71484;8062,921875
B6;29;Target 1;47375,80078;15071,35449
B6;30;Target 1;60747,4375;28432,33789
B6;31;Target 1;84855,83594;52530,08203
B6;32;Target 1;124366,7813;92030,375
B6;33;Target 1;177606,2031;145259,1406
B6;34;Target 1;230058,8438;197701,125
B6;35;Target 1;271681,5313;239313,1719
B6;36;Target 1;302425,625;270046,5938
B6;37;Target 1;325578,625;293188,9688
B6;38;Target 1;341027,0625;308626,75
B6;39;Target 1;351375,7813;318964,8125
B6;40;Target 1;359488,3438;327066,7188
B7;1;Target 1;32435,45898;528,1860962
B7;2;Target 1;32619,07031;554,7265625
B7;3;Target 1;32447,62695;226,212326
B7;4;Target 1;32173,51953;-204,9659576
B7;5;Target 1;32465,24805;-70,30831146
B7;6;Target 1;32600,63672;-91,99051666
B7;7;Target 1;32933,40625;83,70814514
B7;8;Target 1;33064,11328;57,34430695
B7;9;Target 1;33056,57813;-107,2617188
B7;10;Target 1;33260,13281;-60,7779007
B7;11;Target 1;33398,25;-79,73158264
B7;12;Target 1;33563,75;-71,30245209
B7;13;Target 1;33811,89063;19,76729965
B7;14;Target 1;33870,41016;-78,78404236
B7;15;Target 1;34023,23047;-83,0345993
B7;16;Target 1;34161,57031;-101,765625
B7;17;Target 1;34480,96484;60,5580368
B7;18;Target 1;34553,80078;-23,67689705
B7;19;Target 1;34825,66406;91,11551666
B7;20;Target 1;34826,00781;-65,61161041
B7;21;Target 1;35014,88281;-33,80747604
B7;22;Target 1;35235,66016;29,89899635
B7;23;Target 1;35523,14063;160,3085938
B7;24;Target 1;35846,97266;327,0697632
B7;25;Target 1;36148,88281;471,9090271
B7;26;Target 1;36889,88672;1055,842041
B7;27;Target 1;37928,27344;1937,157959
B7;28;Target 1;40203,77734;4055,591064
B7;29;Target 1;44008,70313;7703,445801
B7;30;Target 1;50908,40625;14446,07813
B7;31;Target 1;64089,23828;27469,83984
B7;32;Target 1;87190,28125;50413,8125
B7;33;Target 1;125671,8438;88738,30469
B7;34;Target 1;175085,9219;137995,3125
B7;35;Target 1;226408,9063;189161,2188
B7;36;Target 1;270416,0625;233011,3125
B7;37;Target 1;313938,9375;276377,125
B7;38;Target 1;351194,75;313475,8438
B7;39;Target 1;384430,2813;346554,3125
B7;40;Target 1;408807,8438;370774,8125
B8;1;Target 1;26182,04688;-294,7705078
B8;2;Target 1;26771,58789;294,7705078
B8;3;Target 1;27049,92188;573,1044922
B8;4;Target 1;27111,61719;634,7998047
B8;5;Target 1;27381,40625;904,5888672
B8;6;Target 1;27630,3125;1153,495117
B8;7;Target 1;27748,67578;1271,858398
B8;8;Target 1;27813,07813;1336,260742
B8;9;Target 1;28023,66797;1546,850586
B8;10;Target 1;28107,67773;1630,860352
B8;11;Target 1;28240,23047;1763,413086
B8;12;Target 1;28382,88281;1906,06543
B8;13;Target 1;28622,58203;2145,764648
B8;14;Target 1;28714,31445;2237,49707
B8;15;Target 1;28730,95898;2254,141602
B8;16;Target 1;28775,27344;2298,456055
B8;17;Target 1;28891,48047;2414,663086
B8;18;Target 1;29013,71289;2536,895508
B8;19;Target 1;29208,05859;2731,241211
B8;20;Target 1;29389,46484;2912,647461
B8;21;Target 1;29534,41797;3057,600586
B8;22;Target 1;29751,05273;3274,235352
B8;23;Target 1;29924,52148;3447,704102
B8;24;Target 1;30326,55469;3849,737305
B8;25;Target 1;30924,05078;4447,233398
B8;26;Target 1;31564,98438;5088,166992
B8;27;Target 1;33036,58984;6559,772461
B8;28;Target 1;35863,17969;9386,362305
B8;29;Target 1;41281,45313;14804,63574
B8;30;Target 1;51924,08984;25447,27344
B8;31;Target 1;71626,86719;45150,05078
B8;32;Target 1;105861,0859;79384,26563
B8;33;Target 1;159178,6719;132701,8594
B8;34;Target 1;225063,5469;198586,7344
B8;35;Target 1;282392,25;255915,4375
B8;36;Target 1;323516,7188;297039,9063
B8;37;Target 1;350217,5313;323740,7188
B8;38;Target 1;366801,3438;340324,5313
B8;39;Target 1;377127;350650,1875
B8;40;Target 1;386640,5625;360163,75
B9;1;Target 1;25840,47461;-35,71658707
B9;2;Target 1;25690,12695;-254,1637573
B9;3;Target 1;25775,69531;-236,6949005
B9;4;Target 1;25874,81641;-205,6733246
B9;5;Target 1;26212,59375;64,00450897
B9;6;Target 1;26456,38281;239,6940613
B9;7;Target 1;26465,67969;180,8914337
B9;8;Target 1;26327,40625;-25,48152161
B9;9;Target 1;26472,65234;51,66506195
B9;10;Target 1;26487,61914;-1,467651725
B9;11;Target 1;26745,5625;188,3761902
B9;12;Target 1;26575,0293;-50,2565155
B9;13;Target 1;26639,57813;-53,80719757
B9;14;Target 1;26618,61719;-142,8676453
B9;15;Target 1;26757,75;-71,83434296
B9;16;Target 1;26893,18359;-4,500261307
B9;17;Target 1;27055,48828;89,70491791
B9;18;Target 1;27168,875;134,9921265
B9;19;Target 1;27105,98828;4,005894661
B9;20;Target 1;27086,8418;-83,24009705
B9;21;Target 1;27216,99414;-21,1872673
B9;22;Target 1;27290,06641;-16,21451187
B9;23;Target 1;27334,27148;-40,10894394
B9;24;Target 1;27297,27344;-145,2064972
B9;25;Target 1;27555,67188;45,0924263
B9;26;Target 1;27610,4375;31,75854111
B9;27;Target 1;28020,32422;373,5457458
B9;28;Target 1;28595,8418;880,9638062
B9;29;Target 1;29533,91016;1750,932617
B9;30;Target 1;31307,03906;3455,962158
B9;31;Target 1;34846,18359;6927,007324
B9;32;Target 1;41467,73828;13480,46191
B9;33;Target 1;54147,92188;26092,54688
B9;34;Target 1;76496,07813;48372,60156
B9;35;Target 1;110620,7031;82429,125
B9;36;Target 1;152372,9375;124113,2656
B9;37;Target 1;192535,1406;164207,3594
B9;38;Target 1;225954,8281;197558,9531
B9;39;Target 1;251717,125;223253,1563
B9;40;Target 1;274622,5625;246090,4844
B10;1;Target 1;22887,59766;-121,3518066
B10;2;Target 1;23058,52734;75,43345642
B10;3;Target 1;22964,91406;7,675751686
B10;4;Target 1;22828,44922;-102,9335175
B10;5;Target 1;22812,60156;-92,92559814
B10;6;Target 1;22827,19141;-52,48017502
B10;7;Target 1;22901,51563;47,69961929
B10;8;Target 1;22825,26758;-2,692853212
B10;9;Target 1;22821,41211;19,30725288
B10;10;Target 1;22695,16211;-81,08717346
B10;11;Target 1;22792,13672;41,74301529
B10;12;Target 1;22878,88672;154,348587
B10;13;Target 1;22853,03906;154,3565063
B10;14;Target 1;22621,26563;-51,56135178
B10;15;Target 1;22465,99805;-180,9733582
B10;16;Target 1;22451,44727;-169,6685638
B10;17;Target 1;22530,68359;-64,57665253
B10;18;Target 1;22654,45703;85,05236053
B10;19;Target 1;22712,76758;169,2184753
B10;20;Target 1;22706,5957;188,9021759
B10;21;Target 1;22635,69141;143,8534546
B10;22;Target 1;22550,38281;84,40044403
B10;23;Target 1;22448,23242;8,105628014
B10;24;Target 1;22530,94922;116,6780014
B10;25;Target 1;22476,0625;87,64685822
B10;26;Target 1;22452,98828;90,42821503
B10;27;Target 1;22352,09766;15,39316559
B10;28;Target 1;22295,99609;-14,85282135
B10;29;Target 1;22207,98438;-77,00896454
B10;30;Target 1;22137,60938;-121,528389
B10;31;Target 1;22068,67188;-164,6103058
B10;32;Target 1;21963,1582;-244,2684021
B10;33;Target 1;21969,9375;-211,6335297
B10;34;Target 1;21843,69531;-312,0201416
B10;35;Target 1;22036,72852;-93,13137054
B10;36;Target 1;22250,05664;146,0523376
B10;37;Target 1;22321,36914;243,2204132
B10;38;Target 1;22286,16406;233,8709106
B10;39;Target 1;22280,66797;254,2303925
B10;40;Target 1;22323,26172;322,679718
B11;1;Target 1;36840,24609;-114,4268188
B11;2;Target 1;37072,92188;2,614257813
B11;3;Target 1;36865,74219;-320,2001343
B11;4;Target 1;37106,16797;-195,4090576
B11;5;Target 1;37338,84375;-78,36798859
B11;6;Target 1;37560,75;27,90354919
B11;7;Target 1;37758,41406;109,9329071
B11;8;Target 1;37873,55078;109,4349136
B11;9;Target 1;38234,45313;354,7025452
B11;10;Target 1;38100,14453;104,7592468
B11;11;Target 1;38400,38281;289,3628235
B11;12;Target 1;38503,64844;276,9937439
B11;13;Target 1;38205,46875;-136,8206635
B11;14;Target 1;38350,72266;-107,2014618
B11;15;Target 1;38559,49219;-14,06663609
B11;16;Target 1;38488,34375;-200,8497772
B11;17;Target 1;38562,79688;-242,0313721
B11;18;Target 1;38942,32031;21,85736465
B11;19;Target 1;38910,10938;-125,9882813
B11;20;Target 1;39009,78516;-141,9472046
B11;21;Target 1;39225,125;-42,24207306
B11;22;Target 1;39300,28125;-82,72052765
B11;23;Target 1;39809,80078;311,1643066
B11;24;Target 1;40058,92188;444,6506653
B11;25;Target 1;40870,125;1140,219116
B11;26;Target 1;42148,41016;2302,869629
B11;27;Target 1;44464,49219;4503,316895
B11;28;Target 1;49607,16406;9530,354492
B11;29;Target 1;58793,55078;18601,10547
B11;30;Target 1;75192,73438;34884,65625
B11;31;Target 1;102750,4531;62326,73828
B11;32;Target 1;136978,5;96439,14844
B11;33;Target 1;171865,3125;131210,3281
B11;34;Target 1;204203,9531;163433,3281
B11;35;Target 1;233741,9375;192855,6875
B11;36;Target 1;259560,2031;218558,3125
B11;37;Target 1;283025,8125;241908,2969
B11;38;Target 1;300619,4375;259386,2813
B11;39;Target 1;317305,5625;275956,7813
B11;40;Target 1;329627,1563;288162,7188
B12;1;Target 1;48941,15625;-988,5452881
B12;2;Target 1;49588,51172;-27,01024055
B12;3;Target 1;49805,04297;503,700592
B12;4;Target 1;49222,67188;235,5090637
B12;5;Target 1;48581,38281;-91,60043335
B12;6;Target 1;48302,125;-56,67867661
B12;7;Target 1;47925,75781;-118,8662949
B12;8;Target 1;47842,55469;112,1101532
B12;9;Target 1;47629,84375;213,5787811
B12;10;Target 1;47172,69141;70,60601044
B12;11;Target 1;46782,84375;-5,062072277
B12;12;Target 1;46292,49219;-181,2340698
B12;13;Target 1;46035,08594;-124,4607468
B12;14;Target 1;45698,34375;-147,0233612
B12;15;Target 1;45507,69922;-23,4883194
B12;16;Target 1;45214;-3,007968187
B12;17;Target 1;44739,5625;-163,2658997
B12;18;Target 1;44366,19531;-222,4535065
B12;19;Target 1;44050,33594;-224,133316
B12;20;Target 1;43907,88281;-52,4068718
B12;21;Target 1;43558,45313;-87,65699005
B12;22;Target 1;43375,19531;43,26477051
B12;23;Target 1;42891,54688;-126,2040939
B12;24;Target 1;42618,83203;-84,73937225
B12;25;Target 1;42294,48828;-94,90354919
B12;26;Target 1;42052,57031;-22,64194679
B12;27;Target 1;41908,11719;147,0845032
B12;28;Target 1;41478;31,1468811
B12;29;Target 1;41133,53125;0,857702494
B12;30;Target 1;40802,42188;-16,07210159
B12;31;Target 1;40545,14063;40,82621765
B12;32;Target 1;40194,64063;4,505789757
B12;33;Target 1;39749,00781;-126,9474487
B12;34;Target 1;39628,96094;67,1852417
B12;35;Target 1;39343,25;95,65387726
B12;36;Target 1;38894,74219;-38,674366
B12;37;Target 1;38753,22656;133,9895782
B12;38;Target 1;38425,64844;120,5910263
B12;39;Target 1;38181,78906;190,9112244
B12;40;Target 1;37754,85938;78,16110992
C1;1;Target 1;21532,83984;250,1749268
C1;2;Target 1;21306,71094;-49,9609375
C1;3;Target 1;21603,13672;172,4578857
C1;4;Target 1;21614,09375;109,407959
C1;5;Target 1;21615,53516;36,84240341
C1;6;Target 1;21667,34766;14,64794445
C1;7;Target 1;21751,71875;25,01207924
C1;8;Target 1;21851,42188;50,70824432
C1;9;Target 1;21817,97656;-56,74402618
C1;10;Target 1;21809,92969;-138,7978668
C1;11;Target 1;21841,14063;-181,5938873
C1;12;Target 1;21871,21484;-225,5266266
C1;13;Target 1;22041,4043;-129,3441315
C1;14;Target 1;22188,18359;-56,5717926
C1;15;Target 1;22334,24609;15,48374748
C1;16;Target 1;22467,23828;74,46897888
C1;17;Target 1;22360,64063;-106,135643
C1;18;Target 1;22693,35938;152,5761566
C1;19;Target 1;22632,58008;17,78989601
C1;20;Target 1;22856,17188;167,3747253
C1;21;Target 1;22820,74805;57,94394684
C1;22;Target 1;22783,17969;-53,63137436
C1;23;Target 1;23113,66797;202,8499451
C1;24;Target 1;23261,625;276,8000183
C1;25;Target 1;23479,75195;420,9200134
C1;26;Target 1;23787,21875;654,3798218
C1;27;Target 1;24318,25195;1111,406128
C1;28;Target 1;25557,19727;2276,344482
C1;29;Target 1;27464,66406;4109,804199
C1;30;Target 1;31285,01367;7856,146973
C1;31;Target 1;38839,20703;15336,33301
C1;32;Target 1;52397,49219;28820,61133
C1;33;Target 1;75806,78125;52155,89453
C1;34;Target 1;108613,9922;84889,09375
C1;35;Target 1;145764,1875;121965,2891
C1;36;Target 1;181985,1563;158112,25
C1;37;Target 1;213847,75;189900,8281
C1;38;Target 1;241467,8125;217446,8906
C1;39;Target 1;262927,3125;238832,3906
C1;40;Target 1;280529;256360,0625
C2;1;Target 1;28272,51563;595,9613647
C2;2;Target 1;28216,23438;518,3364258
C2;3;Target 1;27977,03125;257,7896118
C2;4;Target 1;27743,55664;2,971333504
C2;5;Target 1;27737,73438;-24,19460678
C2;6;Target 1;27709,06836;-74,20429993
C2;7;Target 1;28117,78516;313,1688232
C2;8;Target 1;27797,44336;-28,51664543
C2;9;Target 1;27764,48438;-82,81930542
C2;10;Target 1;27958,73242;90,08506775
C2;11;Target 1;27675,91406;-214,0769653
C2;12;Target 1;27815,14453;-96,19017029
C2;13;Target 1;27858,01953;-74,65884399
C2;14;Target 1;27700,81445;-253,2075958
C2;15;Target 1;27704,07617;-271,2895508
C2;16;Target 1;27914,81055;-81,89885712
C2;17;Target 1;28002,39844;-15,65463924
C2;18;Target 1;28175,05859;135,6618347
C2;19;Target 1;27982,65039;-78,09003448
C2;20;Target 1;28106,03516;23,95105553
C2;21;Target 1;28574,60156;471,1737976
C2;22;Target 1;28499,91016;375,1387024
C2;23;Target 1;29060,48438;914,3692627
C2;24;Target 1;30889,27344;2721,814697
C2;25;Target 1;33519,96484;5331,162598
C2;26;Target 1;37950,74219;9740,595703
C2;27;Target 1;47587,41016;19355,91992
C2;28;Target 1;63845,50781;35592,67578
C2;29;Target 1;92180,5625;63906,38672
C2;30;Target 1;132938,2344;104642,7109
C2;31;Target 1;176905,8125;148588,9531
C2;32;Target 1;214933,4375;186595,2344
C2;33;Target 1;245582,0625;217222,5156
C2;34;Target 1;269429,0625;241048,1719
C2;35;Target 1;291150,1875;262747,9375
C2;36;Target 1;302765,1875;274341,5938
C2;37;Target 1;315375,8438;286930,9063
C2;38;Target 1;323698,125;295231,8438
C2;39;Target 1;330039,1875;301551,5625
C2;40;Target 1;335227,9688;306719
C3;1;Target 1;30595,69922;-88,62760925
C3;2;Target 1;31007,48242;256,2333069
C3;3;Target 1;31144,25195;326,0805664
C3;4;Target 1;30861,76953;-23,32414246
C3;5;Target 1;30913,03125;-38,98470688
C3;6;Target 1;31049,15625;30,21800995
C3;7;Target 1;31024,80273;-61,05778885
C3;8;Target 1;31146,75781;-6,024992943
C3;9;Target 1;31228,90234;9,197255135
C3;10;Target 1;31129,30859;-157,3187714
C3;11;Target 1;31275,70508;-77,84457397
C3;12;Target 1;31371,82813;-48,64381027
C3;13;Target 1;31508,0332;20,63898277
C3;14;Target 1;31512,12695;-42,18954849
C3;15;Target 1;31468,80469;-152,4340973
C3;16;Target 1;31643,89648;-44,26458359
C3;17;Target 1;31586,89844;-168,184906
C3;18;Target 1;31847,02344;25,0178051
C3;19;Target 1;31953,95898;65,03106689
C3;20;Target 1;32156,67578;200,8255768
C3;21;Target 1;32166,03516;143,2626801
C3;22;Target 1;32138,22461;48,52984619
C3;23;Target 1;32214,48828;57,87123489
C3;24;Target 1;32356,15039;132,6110535
C3;25;Target 1;32390,67773;100,2161255
C3;26;Target 1;32431,58984;74,20594788
C3;27;Target 1;32648,96484;224,6586609
C3;28;Target 1;33006,07422;514,8457642
C3;29;Target 1;33459,88281;901,7320557
C3;30;Target 1;34284,74219;1659,669189
C3;31;Target 1;35611,71484;2919,719482
C3;32;Target 1;38305,78906;5546,871582
C3;33;Target 1;43176,26563;10350,42578
C3;34;Target 1;52474,78516;19582,02344
C3;35;Target 1;68630,76563;35671,08203
C3;36;Target 1;93518,01563;60491,41016
C3;37;Target 1;123764,1016;90670,57031
C3;38;Target 1;155322,625;122162,1719
C3;39;Target 1;188143,7969;154916,4219
C3;40;Target 1;219117,2813;185822,9844
C4;1;Target 1;25428,23047;-147,2002716
C4;2;Target 1;26016,65039;364,4440613
C4;3;Target 1;25897,38867;168,4067535
C4;4;Target 1;26075,375;269,6174927
C4;5;Target 1;25741,35547;-141,1776276
C4;6;Target 1;26183,21289;223,9042053
C4;7;Target 1;26033,34766;-2,736613035
C4;8;Target 1;26026,91797;-85,9418869
C4;9;Target 1;26208,69141;19,05596161
C4;10;Target 1;26153,17969;-113,2313461
C4;11;Target 1;26199,29492;-143,8916931
C4;12;Target 1;26086,20898;-333,7532349
C4;13;Target 1;26685,125;188,387207
C4;14;Target 1;26303,35547;-270,1578979
C4;15;Target 1;26602,59766;-47,69131088
C4;16;Target 1;26513,53125;-213,5333099
C4;17;Target 1;26886,66016;82,82001495
C4;18;Target 1;26858,98438;-21,63135529
C4;19;Target 1;26853,01172;-104,3796005
C4;20;Target 1;26947,26172;-86,90518951
C4;21;Target 1;27391,46875;280,5262451
C4;22;Target 1;27520,03125;332,3131714
C4;23;Target 1;27391,49609;127,0024261
C4;24;Target 1;27463,61328;122,3440247
C4;25;Target 1;27552,83594;134,7910919
C4;26;Target 1;28116,78125;621,9608154
C4;27;Target 1;28632,48242;1060,886353
C4;28;Target 1;29475,82813;1827,456543
C4;29;Target 1;30737,19727;3012,050049
C4;30;Target 1;33294,17969;5492,256836
C4;31;Target 1;38403,42188;10524,72363
C4;32;Target 1;48287,4375;20331,96289
C4;33;Target 1;65633,35938;37601,10938
C4;34;Target 1;91283,0625;63174,03906
C4;35;Target 1;123337,6797;95151,88281
C4;36;Target 1;154102,3125;125839,7344
C4;37;Target 1;178867,7656;150528,4063
C4;38;Target 1;195993,8906;167577,7656
C4;39;Target 1;207086,2813;178593,375
C4;40;Target 1;212094,0313;183524,3594
C5;1;Target 1;25994,55078;722,6204834
C5;2;Target 1;25980,22266;552,8023071
C5;3;Target 1;26009,70898;426,7985229
C5;4;Target 1;25818,10352;79,70297241
C5;5;Target 1;25689,40625;-204,4843903
C5;6;Target 1;25920,39648;-128,9842377
C5;7;Target 1;25844,79688;-360,0739441
C5;8;Target 1;26425,83203;65,47112274
C5;9;Target 1;26245,625;-270,2260132
C5;10;Target 1;26535,89453;-135,4465637
C5;11;Target 1;26833,5332;6,702017307
C5;12;Target 1;27145,73047;163,4091949
C5;13;Target 1;27281,72656;143,9151917
C5;14;Target 1;27432,96875;139,6672821
C5;15;Target 1;27609,38086;160,5893097
C5;16;Target 1;27510,95117;-93,33047485
C5;17;Target 1;27959,01367;199,2419434
C5;18;Target 1;27926,40234;11,14051723
C5;19;Target 1;28020,47461;-50,27730942
C5;20;Target 1;28184,50781;-41,73419571
C5;21;Target 1;28484,74023;103,0081329
C5;22;Target 1;28411,51953;-125,7026596
C5;23;Target 1;28596,64063;-96,0716629
C5;24;Target 1;28797,14258;-51,05979919
C5;25;Target 1;29061,4375;57,74503326
C5;26;Target 1;28536,2207;-622,961853
C5;27;Target 1;28649,02539;-665,6472778
C5;28;Target 1;29442,58789;-27,57485199
C5;29;Target 1;29716,37305;90,72021484
C5;30;Target 1;29765,16992;-15,97300339
C5;31;Target 1;31193,30273;1256,669678
C5;32;Target 1;32471,20117;2379,078125
C5;33;Target 1;35645,35938;5397,746094
C5;34;Target 1;41701,58594;11298,48242
C5;35;Target 1;54736,48047;24177,88672
C5;36;Target 1;75835,19531;45121,11328
C5;37;Target 1;109967,2109;79097,64063
C5;38;Target 1;160823,6563;129798,5938
C5;39;Target 1;219616,375;188435,8281
C5;40;Target 1;257579,0313;226242,9844
C6;1;Target 1;32198,55859;141,1482849
C6;2;Target 1;32471,87305;361,9402771
C6;3;Target 1;32410,60547;248,1502228
C6;4;Target 1;32170,89453;-44,08318329
C6;5;Target 1;32213,77734;-53,72283554
C6;6;Target 1;32219,58789;-100,4347534
C6;7;Target 1;32344,33594;-28,20917702
C6;8;Target 1;32490,10938;65,04179382
C6;9;Target 1;32394,81641;-82,77364349
C6;10;Target 1;32422,74219;-107,3703308
C6;11;Target 1;32532,95703;-49,67795181
C6;12;Target 1;32584,00977;-51,147686
C6;13;Target 1;32725,56641;37,88648605
C6;14;Target 1;32823,00391;82,8015213
C6;15;Target 1;32821,97266;29,24780273
C6;16;Target 1;32899,53906;54,29174042
C6;17;Target 1;32807,09375;-90,67604065
C6;18;Target 1;32965,64453;15,35227489
C6;19;Target 1;33261,79297;258,978241
C6;20;Target 1;33452,375;397,0378113
C6;21;Target 1;33540,86328;433,0036316
C6;22;Target 1;33709,34375;548,9616089
C6;23;Target 1;33735,92969;523,0250854
C6;24;Target 1;34168,28125;902,854187
C6;25;Target 1;34885,57813;1567,62854
C6;26;Target 1;36139,35156;2768,879639
C6;27;Target 1;38504,97656;5081,981934
C6;28;Target 1;42890,45313;9414,936523
C6;29;Target 1;51100,97656;17572,9375
C6;30;Target 1;66402,13281;32821,57031
C6;31;Target 1;92531,375;58898,28906
C6;32;Target 1;132074,5313;98388,92188
C6;33;Target 1;178799,4688;145061,3438
C6;34;Target 1;223247,9375;189457,2813
C6;35;Target 1;260363,8906;226520,7188
C6;36;Target 1;289108,9688;255213,2656
C6;37;Target 1;312431,3125;278483,0938
C6;38;Target 1;329444,875;295444,125
C6;39;Target 1;341648,9688;307595,7188
C6;40;Target 1;351364,1875;317258,4063
C7;1;Target 1;30974,23047;304,2744141
C7;2;Target 1;30635,32617;-202,655777
C7;3;Target 1;30717,75391;-288,2539368
